epoch,train_loss,valid_loss,valid_mae,valid_rmse,valid_r2
1,0.3495471698941161,0.20038816445536933,0.015057622997562272,0.02074591807405788,0.8008747105425221
2,0.19305957556508116,0.1549082127428473,0.01304887169615893,0.018240378284299863,0.8460680451299458
3,0.15867316769877157,0.1872216944922399,0.01374762399962269,0.02005278549174737,0.8139582057732027
4,0.14277935860632854,0.1441114560329042,0.012112458637844829,0.017593241724324804,0.8567967604825641
5,0.13146687582357974,0.13506375581179453,0.01165166053713077,0.017032014974478843,0.8657874389754099
6,0.12269627691480423,0.1125240495672999,0.010895936231709138,0.015546022533274449,0.8881850976678158
7,0.11638589279257316,0.12387400475472948,0.011085066911504559,0.016311229899602972,0.8769066699112067
8,0.11211298400695788,0.1304477915244155,0.011306430222458067,0.01673844056053449,0.870374306788679
9,0.11000633564361122,0.13093452092696387,0.011257226658543642,0.01676963854400009,0.8698906501440025
10,0.10984864127066336,0.11007352112896386,0.010415637984476499,0.015375811640744525,0.890620180276122
11,0.10447330244794985,0.1509431281308358,0.011782674951391927,0.018005421887844816,0.8500081344538174
12,0.10218483534778472,0.1110053340994064,0.0105386641068079,0.015440755273935692,0.8896942422091556
13,0.10043146202260608,0.11226691336702943,0.010744554548228648,0.015528249471488526,0.8884406173253304
14,0.09928677222292465,0.110454607082242,0.010388274272973671,0.01540240499042122,0.8902414957150796
15,0.09695511436008089,0.11861305482396604,0.010657927975235787,0.01596110182068922,0.8821344629830754
16,0.09491017781498574,0.09592572392597377,0.009834763903958146,0.014353709793312755,0.9046788165382245
17,0.09365463595972819,0.09479615500115014,0.009679950692189035,0.014268948997964626,0.9058012642003241
18,0.0914960885471783,0.09924292360875527,0.009791490775341303,0.014599783106511844,0.9013825176529713
19,0.09409344848000309,0.09230214756298495,0.009488099498260162,0.014079995663567232,0.9082795566821535
20,0.08942630480604019,0.0918625414532214,0.009784184196948568,0.01404642607742162,0.9087163958536406
21,0.08946523398836657,0.09822783242761135,0.009957550503961122,0.014524925587114186,0.9023912086040502
22,0.08872405501948749,0.0854217298253835,0.00925639377912031,0.013545055773434253,0.9151166133984406
23,0.08822215932037049,0.08631946013313747,0.00918205840480731,0.01361604498545278,0.9142245395146478
24,0.08692133711979694,0.10456039152725465,0.009969142541793761,0.014985809953103156,0.8960985653148898
25,0.0857619712246571,0.10667733168836993,0.010237675460783146,0.01513675179481593,0.893994967790264
26,0.08600764293030193,0.11338984705786052,0.010376931090258942,0.015605716501350337,0.8873247502728283
27,0.08557235369759897,0.09748868876026495,0.009990527817991384,0.014470173095465153,0.9031257048524152
28,0.0842376626235037,0.08657841657149733,0.009305696244754599,0.013636453437895688,0.9139672171699451
29,0.08343738623106574,0.08240906373320755,0.009015725145946374,0.013304057514989169,0.9181102904942638
30,0.08288936295874753,0.10008920919424187,0.009715241048713397,0.014661900154133267,0.9005415656410214
31,0.08307015474356504,0.090844556569541,0.009477379421302189,0.013968381073935984,0.9097279609706097
32,0.08214674579646664,0.10668954906993258,0.01016051627906876,0.015137618724453952,0.8939828249557751
33,0.08360350042552203,0.0797218970369141,0.009307445569640437,0.013085352082942469,0.9207805307992514
34,0.08130981370199991,0.1080071303947366,0.010035983081924075,0.015230804247336477,0.8926735472006943
35,0.0811286365087973,0.09029922295576055,0.009377186849699692,0.013926392528127064,0.910269855514106
36,0.08163709608004793,0.08322557405777418,0.009163793522833905,0.013369803094792236,0.9172989305934256
37,0.08076264953677925,0.0995092533356493,0.009749771215887323,0.014619359919222903,0.9011178684664835
38,0.07984789847060945,0.09609335893204743,0.009728464456402918,0.014366246045385124,0.904512240477691
39,0.0798910561772334,0.08893863748589893,0.009343417418842892,0.013821075878028199,0.9116218704996619
40,0.07950214641046724,0.09178830889141354,0.00958748186059971,0.014040749521280687,0.9087901614928108
41,0.07975212241502186,0.0836172744547241,0.008914081430282488,0.01340122911044076,0.9169096923159233
42,0.07880637363101863,0.09225077478598415,0.009530820333401436,0.014076076807976474,0.908330606293204
43,0.07887452920706212,0.07839198108030833,0.008793448116511025,0.012975749020503129,0.9221020593589537
44,0.078747209635489,0.11176524221656839,0.010258284475644138,0.015493516801181297,0.8889391180550478
45,0.07891808863534301,0.08516565334005965,0.009192713844808874,0.013524737839983985,0.915371076948139
46,0.07972408714838171,0.09089878130608732,0.009531065664047074,0.013972549127418972,0.9096740800203412
47,0.08033852839395307,0.09526177329577894,0.00951979944603441,0.01430394890930014,0.9053385824853586
48,0.0767616604140074,0.08472622323763784,0.009186284527905143,0.013489800859205512,0.9158077375710016
49,0.07722985231780402,0.09247156360598298,0.009729995968029898,0.01409291100623232,0.9081112122748958
50,0.07878633841647723,0.09918042423685865,0.009670825396670406,0.01459518497792676,0.9014446260356006
51,0.0772171239849829,0.08519063515017322,0.009055067722882466,0.01352672130346369,0.9153462527055136
52,0.07764201594898527,0.0914775886084475,0.009417951839949599,0.01401696450287308,0.909098918540315
53,0.07726273949348031,0.08610118193661603,0.009155420415573783,0.01359881836239302,0.9144414434401714
