field,description
sample_id,???????
source_row_excel,?? Excel ???????
membrane_name_raw,???????
smiles_single,????? SMILES
smiles_triple,????? SMILES???????
ffv,????
aging_days,???????
thickness_um,??????
p_co2_barrer,CO2 ????Barrer?
p_ch4_barrer,CH4 ????Barrer?
p_n2_barrer,N2 ????Barrer?
sel_co2_ch4,CO2/CH4 ???
sel_co2_n2,CO2/N2 ???
eligible_ffv_pilot,????? 13 ? FFV ????
eligible_co2_main,????? CO2 ???????
backbone_family,??????????
contortion_unit_family,????????????
modification_family,??????????
