membrane_name_raw,n_rows
PIM-Btrip,11
PIM-HMI-Trip,6
PIM-DTFM-Btrip,5
PIM-TFM-Btrip,5
PIM-TMN-Trip,5
PIM-1-SO3H,3
Pristine PIM-1,3
PIM-EA-TB,3
SPFDA-DMN,3
KAUST-PI-1,3
KAUST-PI-2,3
KAUST-PI-7,3
COOH-PIM-1,2
PIM-BTrip-TB,2
PIM-Trip-TB,2
TB-Ad-Me,2
PIM-HPB-2,2
PIM-CH3-HPB,2
PIM-Br-HPB,2
PIM-CN-HPB,2
PIM-PI-12,2
4MTBDA-PMDA,2
4MTBDA-6FDA,2
TZ−PIM-1,1
Thio−PIM-1,1
AO−PIM-1,1
PIM-1-M,1
PIM-1-MBr,1
Brominated vinylated PIM-1,1
Thiophenated vinylated PIM-1,1
Vinylated PIM-1,1
Adamantane-AO-PIM-1,1
PIM-1-Py,1
PIM-1-MePy,1
PIM-DM-Btrip,1
TPIM-1,1
