model_name,fold_id,convergence_type,n_iterations,final_train_loss,final_validation_loss
ridge,1,train_vs_validation_metrics_only,,,
ridge,2,train_vs_validation_metrics_only,,,
ridge,3,train_vs_validation_metrics_only,,,
ridge,4,train_vs_validation_metrics_only,,,
ridge,5,train_vs_validation_metrics_only,,,
random_forest,1,train_vs_validation_metrics_only,,,
random_forest,2,train_vs_validation_metrics_only,,,
random_forest,3,train_vs_validation_metrics_only,,,
random_forest,4,train_vs_validation_metrics_only,,,
random_forest,5,train_vs_validation_metrics_only,,,
svr,1,train_vs_validation_metrics_only,,,
svr,2,train_vs_validation_metrics_only,,,
svr,3,train_vs_validation_metrics_only,,,
svr,4,train_vs_validation_metrics_only,,,
svr,5,train_vs_validation_metrics_only,,,
hist_gb,1,iterative_loss,20.0,0.08028938429854238,0.02774046037264825
hist_gb,2,iterative_loss,20.0,0.08081076917423943,0.03284759362333291
hist_gb,3,iterative_loss,20.0,0.059054799334602885,0.03670812273583759
hist_gb,4,iterative_loss,20.0,0.07796620486269577,0.024219564772348906
hist_gb,5,iterative_loss,20.0,0.05999809030745142,0.0318167238957531
xgboost,1,train_vs_validation_metrics_only,,,
xgboost,2,train_vs_validation_metrics_only,,,
xgboost,3,train_vs_validation_metrics_only,,,
xgboost,4,train_vs_validation_metrics_only,,,
xgboost,5,train_vs_validation_metrics_only,,,
